epoch,train_loss,train_acc,train_acc5,val_loss,val_acc,val_acc5,lr
190,1.543767,0.820024,0.962557,1.53722,0.810714,0.965179,0.0007873055667779381
191,1.548273,0.819988,0.962139,,,,0.0007747535397432768
192,1.536555,0.825542,0.961997,,,,0.0007622572855746336
193,1.526866,0.828702,0.963196,,,,0.0007498182707628417
194,1.532301,0.827986,0.960562,,,,0.0007374379550814402
195,1.518255,0.831642,0.963849,1.461255,0.829911,0.973214,0.0007251177914153662
196,1.506636,0.835556,0.965392,,,,0.0007128592255904513
197,1.513641,0.831877,0.963871,,,,0.0007006636962037457
198,1.501911,0.835599,0.965718,,,,0.0006885326344546953
199,1.496222,0.839831,0.966229,,,,0.0006764674639771841
200,1.48402,0.842672,0.9676,1.490961,0.818973,0.96808,0.0006644696006724603
201,1.481812,0.844349,0.967316,,,,0.0006525404525429788
202,1.469905,0.845484,0.967373,,,,0.000640681419527164
203,1.46535,0.847815,0.968708,,,,0.0006288938933351207
204,1.458722,0.850485,0.967976,,,,0.0006171792572853108
205,1.45801,0.85023,0.970121,1.503323,0.808705,0.967634,0.0006055388861422144
206,1.442027,0.853767,0.971847,,,,0.0005939741459549961
207,1.435889,0.858177,0.9712,,,,0.0005824863938971922
208,1.431563,0.858205,0.970476,,,,0.0005710769781074414
209,1.422882,0.861265,0.971968,,,,0.0005597472375312726
210,1.423328,0.86231,0.971648,1.462928,0.834598,0.973661,0.0005484985017639761
211,1.419626,0.862225,0.971066,,,,0.0005373320908945687
212,1.408493,0.868623,0.973828,,,,0.0005262493153508757
213,1.40561,0.867424,0.97223,,,,0.0005152514757457448
214,1.404277,0.868447,0.972167,,,,0.000504339862724416
215,1.388731,0.872892,0.974333,1.462216,0.832812,0.970982,0.0004935157568130572
216,1.388525,0.873496,0.974063,,,,0.0004827804282684884
217,1.376376,0.874682,0.974986,,,,0.0004721351369291126
218,1.378615,0.875811,0.974667,,,,0.0004615811320670669
219,1.365317,0.878531,0.97706,,,,0.0004511196522416161
220,1.363839,0.881052,0.975483,1.385018,0.852679,0.972545,0.000440751925153802
221,1.359306,0.882062,0.975128,,,,0.00043047916750236587
222,1.350242,0.885775,0.977472,,,,0.0004203025848409653
223,1.349565,0.885619,0.976385,,,,0.00041022337143669627
224,1.33848,0.888539,0.977884,,,,0.0004002427101299415
225,1.338713,0.888504,0.97745,1.383806,0.850893,0.977232,0.0003903617721955562
226,1.325467,0.893325,0.979603,,,,0.0003805817172054172
227,1.32872,0.892132,0.977947,,,,0.0003709036928923404
228,1.309759,0.895938,0.980362,,,,0.00036132883501538925
229,1.310434,0.897672,0.980135,,,,0.00035185826722658773
230,1.307928,0.896934,0.97919,1.355745,0.854241,0.975893,0.00034249310093905657
231,1.298359,0.901698,0.981001,,,,0.00033323443519658305
232,1.29402,0.90331,0.980171,,,,0.00032408335654464203
233,1.288429,0.904796,0.981045,,,,0.0003150409389028879
234,1.290117,0.904119,0.980114,,,,0.0003061082434391222
235,1.27477,0.909028,0.982195,1.376601,0.854018,0.979018,0.0002972863184447635
236,1.27408,0.909114,0.981463,,,,0.0002885761992118248
237,1.273618,0.90795,0.981236,,,,0.00027997890791141603
238,1.265758,0.910521,0.982352,,,,0.00027149545347379
239,1.26416,0.913155,0.980717,,,,0.00026312683146993877
240,1.253579,0.915477,0.983239,1.327796,0.863393,0.977232,0.0002548740239947594
241,1.252944,0.91439,0.982848,,,,0.00024673799955179937
242,1.248735,0.916422,0.982195,,,,0.00023871971293960089
243,1.236445,0.920654,0.98429,,,,0.0002308201051396491
244,1.229808,0.923055,0.983665,,,,0.00022304010320594456
245,1.233199,0.919419,0.984233,1.333606,0.862054,0.976562,0.00021538062015620855
246,1.217598,0.924702,0.986151,,,,0.00020784255486473765
247,1.218118,0.926016,0.985724,,,,0.0002004267919569161
248,1.21409,0.927714,0.98461,,,,0.00019313420170540037
249,1.210127,0.928857,0.984943,,,,0.0001859656399279908
250,1.20584,0.929241,0.984503,1.299384,0.871652,0.983036,0.00017892194788719505
251,1.20847,0.928496,0.984823,,,,0.00017200395219150465
252,1.192717,0.93358,0.985866,,,,0.00016521246469838744
253,1.184023,0.936705,0.9875,,,,0.00015854828241901266
254,1.180759,0.936478,0.987429,,,,0.00015201218742471787
255,1.185305,0.936379,0.985724,1.288286,0.875446,0.978795,0.00014560494675523047
256,1.17514,0.939056,0.987131,,,,0.00013932731232865162
257,1.184868,0.935647,0.984943,,,,0.00013318002085321414
258,1.166717,0.941905,0.988111,,,,0.0001271637937408289
259,1.167774,0.941337,0.987451,,,,0.00012127933702242187
260,1.166668,0.941471,0.987486,1.281005,0.881027,0.98192,0.00011552734126507981
261,1.15547,0.944377,0.988786,,,,0.00010990848149100724
262,1.150816,0.945498,0.987855,,,,0.00010442341709831178
263,1.152011,0.945312,0.987429,,,,9.907279178361953e-05
264,1.148912,0.945817,0.987607,,,,9.385723346653409e-05
265,1.143292,0.946826,0.988636,1.293011,0.874554,0.981027,8.877735421594925e-05
266,1.13947,0.948459,0.988601,,,,8.38337501782176e-05
267,1.136329,0.948295,0.989311,,,,7.902700150719202e-05
268,1.124546,0.953622,0.990128,,,,7.4357672296141e-05
269,1.129997,0.949915,0.98924,,,,6.982631051155049e-05
270,1.131492,0.951002,0.988693,1.268561,0.879911,0.982143,6.543344792881648e-05
271,1.123508,0.952217,0.989418,,,,6.117960006984027e-05
272,1.121294,0.954155,0.989879,,,,5.7065266142528565e-05
273,1.125049,0.952501,0.988551,,,,5.309092898221018e-05
274,1.118457,0.955832,0.989652,,,,4.9257054994971765e-05
275,1.115808,0.955739,0.989276,1.269775,0.883036,0.982143,4.556409410292423e-05
276,1.11761,0.954334,0.989447,,,,4.201247969140236e-05
277,1.105238,0.958367,0.991122,,,,3.8602628558104105e-05
278,1.112001,0.95569,0.989262,,,,3.533494086417843e-05
279,1.100531,0.959361,0.990909,,,,3.2209800087264686e-05
280,1.100665,0.958744,0.990732,1.273818,0.875446,0.982143,2.92275729764891e-05
281,1.097715,0.959695,0.990732,,,,2.6388609509425616e-05
282,1.095909,0.961059,0.990327,,,,2.3693242851024323e-05
283,1.099537,0.958921,0.990007,,,,2.1141789314513177e-05
284,1.091914,0.962415,0.990625,,,,1.8734548324277548e-05
285,1.092424,0.962167,0.990767,1.272875,0.881027,0.981696,1.6471802380720574e-05
286,1.094823,0.959489,0.990256,,,,1.4353817027111315e-05
287,1.086047,0.964767,0.990803,,,,1.2380840818421643e-05
288,1.089991,0.961464,0.991321,,,,1.055310529215744e-05
289,1.086561,0.962877,0.99125,,,,8.870824941186428e-06
290,1.087251,0.962464,0.990732,1.270026,0.879241,0.98125,7.3341971885667374e-06
291,1.088827,0.962011,0.990682,,,,5.94340236437803e-06
292,1.081762,0.964595,0.991442,,,,4.698603684559489e-06
293,1.085488,0.963857,0.990988,,,,3.5999472317553484e-06
294,1.081141,0.963914,0.992245,,,,2.647561938171461e-06
295,1.08586,0.963488,0.990966,1.266665,0.880134,0.982589,1.8415595704448187e-06
296,1.080083,0.965199,0.991584,,,,1.1820347165268753e-06
297,1.089855,0.962827,0.990185,,,,6.690647745834436e-07
298,1.086302,0.963701,0.990803,,,,3.0270994391144127e-07
299,1.086043,0.962231,0.991144,,,,8.301321787470906e-08
300,1.084741,0.963794,0.990881,1.262531,0.886384,0.98192,1.0000378858205934e-08
